GEO_ID,NAME,P1_001N,P1_001NA
Geography,Geographic Area Name, !!Total,Annotation of  !!Total
860Z200US90640,ZCTA5 90640,62678,null
860Z200US90650,ZCTA5 90650,102891,null
860Z200US90660,ZCTA5 90660,62013,null
860Z200US90670,ZCTA5 90670,17761,null
860Z200US90680,ZCTA5 90680,30045,null
860Z200US90701,ZCTA5 90701,16434,null
860Z200US90703,ZCTA5 90703,49735,null
860Z200US90704,ZCTA5 90704,3715,null
860Z200US90706,ZCTA5 90706,79179,null
860Z200US90710,ZCTA5 90710,26605,null
860Z200US90712,ZCTA5 90712,32332,null
860Z200US90713,ZCTA5 90713,28755,null
860Z200US90715,ZCTA5 90715,20999,null
860Z200US90716,ZCTA5 90716,14098,null
860Z200US90717,ZCTA5 90717,22044,null
860Z200US90720,ZCTA5 90720,22955,null
860Z200US90723,ZCTA5 90723,53770,null
860Z200US90731,ZCTA5 90731,61270,null
860Z200US90732,ZCTA5 90732,21397,null
860Z200US90740,ZCTA5 90740,24769,null
860Z200US90742,ZCTA5 90742,748,null
860Z200US90743,ZCTA5 90743,466,null
860Z200US90744,ZCTA5 90744,53074,null
860Z200US90745,ZCTA5 90745,59937,null
860Z200US90746,ZCTA5 90746,27147,null
860Z200US90747,ZCTA5 90747,22,null
860Z200US90755,ZCTA5 90755,11923,null
860Z200US90802,ZCTA5 90802,41686,null
860Z200US90803,ZCTA5 90803,32192,null
860Z200US90804,ZCTA5 90804,39370,null
860Z200US90805,ZCTA5 90805,95350,null
860Z200US90806,ZCTA5 90806,41611,null
860Z200US90807,ZCTA5 90807,32412,null
860Z200US90808,ZCTA5 90808,39747,null
860Z200US90810,ZCTA5 90810,38529,null
860Z200US90813,ZCTA5 90813,54565,null
860Z200US90814,ZCTA5 90814,19042,null
860Z200US90815,ZCTA5 90815,41837,null
860Z200US90822,ZCTA5 90822,54,null
860Z200US90831,ZCTA5 90831,0,null
860Z200US90840,ZCTA5 90840,8,null
860Z200US91001,ZCTA5 91001,36578,null
860Z200US91006,ZCTA5 91006,31949,null
860Z200US91007,ZCTA5 91007,33804,null
860Z200US91008,ZCTA5 91008,1010,null
860Z200US91010,ZCTA5 91010,26730,null
860Z200US91011,ZCTA5 91011,20588,null
860Z200US91016,ZCTA5 91016,41852,null
860Z200US91020,ZCTA5 91020,8439,null
860Z200US91024,ZCTA5 91024,11268,null
860Z200US91030,ZCTA5 91030,26927,null
860Z200US91040,ZCTA5 91040,21588,null
860Z200US91042,ZCTA5 91042,28036,null
860Z200US91046,ZCTA5 91046,141,null
860Z200US91101,ZCTA5 91101,20583,null
860Z200US91103,ZCTA5 91103,26887,null
860Z200US91104,ZCTA5 91104,34707,null
860Z200US91105,ZCTA5 91105,13869,null
860Z200US91106,ZCTA5 91106,24172,null
860Z200US91107,ZCTA5 91107,33729,null
860Z200US91108,ZCTA5 91108,12777,null
860Z200US91125,ZCTA5 91125,161,null
860Z200US91201,ZCTA5 91201,22608,null
860Z200US91202,ZCTA5 91202,22875,null
860Z200US91203,ZCTA5 91203,16930,null
860Z200US91204,ZCTA5 91204,17302,null
860Z200US91205,ZCTA5 91205,36693,null
860Z200US91206,ZCTA5 91206,33252,null
860Z200US91207,ZCTA5 91207,10369,null
860Z200US91208,ZCTA5 91208,16776,null
860Z200US91210,ZCTA5 91210,555,null
860Z200US91214,ZCTA5 91214,31097,null
860Z200US91301,ZCTA5 91301,24790,null
860Z200US91302,ZCTA5 91302,25468,null
860Z200US91303,ZCTA5 91303,28457,null
860Z200US91304,ZCTA5 91304,52386,null
860Z200US91306,ZCTA5 91306,46669,null
860Z200US91307,ZCTA5 91307,24855,null
860Z200US91311,ZCTA5 91311,39014,null
860Z200US91316,ZCTA5 91316,28777,null
860Z200US91320,ZCTA5 91320,44462,null
860Z200US91321,ZCTA5 91321,33560,null
860Z200US91324,ZCTA5 91324,29500,null
860Z200US91325,ZCTA5 91325,35250,null
860Z200US91326,ZCTA5 91326,38041,null
860Z200US91330,ZCTA5 91330,2273,null
860Z200US91331,ZCTA5 91331,100720,null
860Z200US91335,ZCTA5 91335,76650,null
860Z200US91340,ZCTA5 91340,34610,null
860Z200US91342,ZCTA5 91342,96429,null
860Z200US91343,ZCTA5 91343,62595,null
860Z200US91344,ZCTA5 91344,52481,null
860Z200US91345,ZCTA5 91345,18895,null
860Z200US91350,ZCTA5 91350,41514,null
860Z200US91351,ZCTA5 91351,34684,null
860Z200US91352,ZCTA5 91352,47274,null
860Z200US91354,ZCTA5 91354,33962,null
860Z200US91355,ZCTA5 91355,32886,null
860Z200US91356,ZCTA5 91356,30664,null
860Z200US91360,ZCTA5 91360,43046,null
860Z200US91361,ZCTA5 91361,20262,null
860Z200US91362,ZCTA5 91362,35803,null
860Z200US91364,ZCTA5 91364,27071,null
860Z200US91367,ZCTA5 91367,46498,null
860Z200US91371,ZCTA5 91371,14,null
860Z200US91377,ZCTA5 91377,13898,null
860Z200US91381,ZCTA5 91381,20862,null
860Z200US91384,ZCTA5 91384,28585,null
860Z200US91387,ZCTA5 91387,45749,null
860Z200US91390,ZCTA5 91390,20128,null
860Z200US91401,ZCTA5 91401,39621,null
860Z200US91402,ZCTA5 91402,70140,null
860Z200US91403,ZCTA5 91403,25329,null
860Z200US91405,ZCTA5 91405,55319,null
860Z200US91406,ZCTA5 91406,53252,null
860Z200US91411,ZCTA5 91411,24984,null
860Z200US91423,ZCTA5 91423,32635,null
860Z200US91436,ZCTA5 91436,15189,null
860Z200US91501,ZCTA5 91501,21157,null
860Z200US91502,ZCTA5 91502,11665,null
860Z200US91504,ZCTA5 91504,26678,null
860Z200US91505,ZCTA5 91505,32371,null
860Z200US91506,ZCTA5 91506,19338,null
860Z200US91601,ZCTA5 91601,39429,null
860Z200US91602,ZCTA5 91602,19647,null
860Z200US91604,ZCTA5 91604,30947,null
860Z200US91605,ZCTA5 91605,54341,null
860Z200US91606,ZCTA5 91606,43955,null
860Z200US91607,ZCTA5 91607,30502,null
860Z200US91608,ZCTA5 91608,37,null
860Z200US91701,ZCTA5 91701,38778,null
860Z200US91702,ZCTA5 91702,62328,null
860Z200US91706,ZCTA5 91706,73313,null
860Z200US91708,ZCTA5 91708,14381,null
860Z200US91709,ZCTA5 91709,78530,null
860Z200US91710,ZCTA5 91710,82576,null
860Z200US91711,ZCTA5 91711,38122,null
860Z200US91722,ZCTA5 91722,36111,null
860Z200US91723,ZCTA5 91723,19653,null
860Z200US91724,ZCTA5 91724,27180,null
860Z200US91730,ZCTA5 91730,68883,null
860Z200US91731,ZCTA5 91731,28197,null
860Z200US91732,ZCTA5 91732,60137,null
860Z200US91733,ZCTA5 91733,41990,null
860Z200US91737,ZCTA5 91737,24568,null
860Z200US91739,ZCTA5 91739,42411,null
860Z200US91740,ZCTA5 91740,26644,null
860Z200US91741,ZCTA5 91741,26999,null
860Z200US91744,ZCTA5 91744,81817,null
860Z200US91745,ZCTA5 91745,54280,null
