,ZIP,Crime_Type,Crime_Count,Population,Crime_Rate
116,90066,property,1320,55304.0,0.02386807464197888
117,90067,personal,65,3344.0,0.019437799043062202
118,90067,property,217,3344.0,0.06489234449760765
119,90068,personal,186,24361.0,0.0076351545503058164
120,90068,property,754,24361.0,0.030951110381347235
121,90069,personal,86,20584.0,0.004178002331908278
122,90069,property,253,20584.0,0.012291099883404585
123,90071,personal,281,907.0,0.3098125689084895
124,90071,property,362,907.0,0.39911797133406834
125,90073,personal,13,936.0,0.013888888888888888
126,90073,property,54,936.0,0.057692307692307696
127,90074,personal,90,0.0,1.0
128,90074,property,156,0.0,1.0
129,90077,personal,53,8874.0,0.005972503944106378
130,90077,property,180,8874.0,0.02028397565922921
131,90079,personal,73,16.0,4.5625
132,90079,property,142,16.0,8.875
133,90081,property,1,0.0,1.0
134,90086,personal,94,0.0,1.0
135,90086,property,167,0.0,1.0
136,90089,personal,139,5172.0,0.026875483372003094
137,90089,property,223,5172.0,0.04311678267594741
138,90094,personal,47,12746.0,0.0036874313510120824
139,90094,property,313,12746.0,0.02455672367801663
140,90095,personal,15,1.0,15.0
141,90095,property,54,1.0,54.0
142,90096,personal,26,0.0,1.0
143,90096,property,86,0.0,1.0
144,90201,personal,20,95810.0,0.00020874647740319382
145,90201,property,23,95810.0,0.0002400584490136729
146,90202,personal,21,0.0,1.0
147,90202,property,91,0.0,1.0
148,90210,personal,79,21134.0,0.003738052427368222
149,90210,property,177,21134.0,0.008375130122078168
150,90211,personal,27,8260.0,0.003268765133171913
151,90211,property,96,8260.0,0.01162227602905569
152,90212,personal,17,11451.0,0.0014845864989957208
153,90212,property,42,11451.0,0.0036678019386953103
154,90227,personal,18,0.0,1.0
155,90227,property,156,0.0,1.0
156,90230,personal,227,32743.0,0.006932779525394741
157,90230,property,364,32743.0,0.011116879943804782
158,90232,personal,47,16452.0,0.0028567955263797714
159,90232,property,116,16452.0,0.007050814490639436
160,90245,personal,102,17272.0,0.005905511811023622
161,90245,property,176,17272.0,0.010189902732746642
162,90247,personal,184,48543.0,0.003790453824444307
163,90247,property,289,48543.0,0.0059534845394804605
164,90248,personal,116,11295.0,0.01027003098716246
165,90248,property,346,11295.0,0.030633023461708722
166,90250,personal,5,97653.0,5.1201703992708875e-05
167,90250,property,36,97653.0,0.0003686522687475039
168,90262,property,1,67099.0,1.4903351763811682e-05
169,90265,property,5,15186.0,0.00032925062557618857
170,90272,personal,123,22849.0,0.005383167753512189
171,90272,property,447,22849.0,0.01956321939691015
172,90275,personal,19,42452.0,0.00044756430792424384
173,90275,property,29,42452.0,0.0006831244699896353
174,90278,property,4,42188.0,9.481369109699441e-05
175,90290,personal,3,6640.0,0.00045180722891566266
176,90290,property,8,6640.0,0.0012048192771084338
177,90291,personal,992,28442.0,0.034877997327895364
178,90291,property,1658,28442.0,0.05829407214682512
179,90292,personal,247,27681.0,0.008923088038726925
180,90292,property,624,27681.0,0.0225425382030996
181,90293,personal,115,12633.0,0.009103142563128315
182,90293,property,410,12633.0,0.0324546821815879
183,90296,personal,8,0.0,1.0
184,90296,property,27,0.0,1.0
185,90301,personal,35,36270.0,0.0009649848359525779
186,90301,property,94,36270.0,0.002591673559415495
187,90302,personal,5,29264.0,0.00017085839256424275
188,90302,property,6,29264.0,0.0002050300710770913
189,90304,personal,7,26058.0,0.0002686315143142221
190,90304,property,40,26058.0,0.0015350372246526979
191,90305,personal,39,15367.0,0.0025379059022580855
