,ZIP,Crime_Type,Crime_Count
326,91515,property,38
327,91522,personal,32
328,91522,property,61
329,91601,personal,791
330,91601,property,1457
331,91602,personal,239
332,91602,property,689
333,91604,personal,375
334,91604,property,1218
335,91605,personal,924
336,91605,property,1580
337,91606,personal,726
338,91606,property,1232
339,91607,personal,285
340,91607,property,762
341,91608,personal,56
342,91608,property,130
