,listing_id,id,date,reviewer_id,reviewer_name,comments,Year
728810,22215734,228422653,2018-01-19,4942261,Chivonne,"Issac's home was beautiful, very clean and spacious. Host was amazing and responded very fast.",2018.0
728811,22215734,229039455,2018-01-21,42138671,Brian,"Isaac's home was very comfortable and a short drive from LAX. His communication was great, and he made it very easy to check in and check out. Great host!",2018.0
728812,22215734,229301625,2018-01-22,158232867,Naloni,"The guest home is very clean, stylish and roomy. The responses to any questions I had were quick and overall it was a great experience.",2018.0
728813,22215734,230026601,2018-01-26,4598275,Anh,"Amazing stay for our overnight stopover. So convenient to get to LAX - clean, comfy, and cozy. Easy checkin and instructions were very clear. Street parking was not an issue. Thanks again! Highly recommend.",2018.0
728825,22215734,230715835,2018-01-28,43541381,Michelle,Isaac’s apartment was great.  Very clean and had everything we needed.  The location was great!  Will definitely stay there again!,2018.0
728826,22215734,230942373,2018-01-29,134711689,Priya,"Isaac's place was clean, comfortable and spacious. He gave precise directions and made the check in process easy. The location is conveniently located close to the airport.",2018.0
728840,22215734,231136494,2018-01-30,152379882,Cassie,Beautiful suite that has everything you need. Even better than the pictures! Isaac was very quick with responding and very hospitable! Would definitely stay again.,2018.0
728859,22215734,231340244,2018-01-31,145388558,Deb,"Everything about the suite was great. It was clean, smelled good, and relaxing.",2018.0
728860,22215734,231775275,2018-02-02,38409964,Paul,Great place. Would stay again,2018.0
728861,22215734,231994738,2018-02-03,33537956,Bry,great location and great hospitality :),2018.0
728862,22215734,232432795,2018-02-04,146868006,Emily,"Isaacs place was located right near the airport, great for people needing to fly out after they check out! The place was very spacious and provided coffee, which was great! Isaac communicated very quickly! Would definitely stay again :)",2018.0
728863,22215734,233048363,2018-02-07,37336692,John,"Perfect way to end your trip to L.A., especially if you have an early flight like I did. Minutes from LAX, you're sure to be able to sleep a bit longer and not worry about having to beat traffic or missing flights. The place is in a residential area, but neat because it's tucked away towards the back of the home. Very clean, hotel like, nice and private room. Issac was very helpful, he even let me borrow a phone charging cable so that I may charge my phone as I had lost mine earlier that day. <br/>Highly recommend this one.",2018.0
728864,22215734,233461060,2018-02-09,106338152,Cara,Perfect spot for location to LAX in a quite neighborhood. Walking distance to shops and a short Über ride to the airport.,2018.0
728865,22215734,233720801,2018-02-10,124385024,Matt,"Stayed here one night after a long flight, great place to stay.",2018.0
728866,22215734,234453982,2018-02-12,166663493,Chelsea,"I loved that this room was 5 minutes to the airport - it made our stay much less stressful knowing we wouldn't have to fight traffic to LAX. The room itself was very comfortable and clean, with a nice private entrance.",2018.0
728867,22215734,234928440,2018-02-14,173124043,Glendelynn,"Booked this guest suite the night before I flew out to LAX. Rented a car at enterprise and was literally a 5 min drive from the LAX location. Excellent communicator, clear instructions, cleanliness of the guest home was the best. Everything from amazon prime and Netflix, beverages including coffee and tea were provided and the shower was really nice. Would definitely come back and stay here again.",2018.0
728868,22215734,235183029,2018-02-15,133989194,Ramon,"Excellent stay, so much that we booked another night on our way back from Mexico.",2018.0
728869,22215734,235444793,2018-02-16,167287282,Tyron,The place was amazing and comfortable,2018.0
